Sample Name;CaptureMethod;organism;Disorder;Origin;cellTypeorMarker;projectGroup;Project;Researcher;Mouse group
320_CD41;RNAseq;Mouse;Fibrosis;Bone_marrow;CD41;Rebekka_Schneider;CXCL4;Helene_Gleitz;CXCL4 KO TPO
320_tdTom;RNAseq;Mouse;Fibrosis;Bone_marrow;TdTomato_Gli1;Rebekka_Schneider;CXCL4;Helene_Gleitz;CXCL4 KO TPO
321_CD41;RNAseq;Mouse;Fibrosis;Bone_marrow;CD41;Rebekka_Schneider;CXCL4;Helene_Gleitz;CXCL4 KO EV
321_tdTom;RNAseq;Mouse;Fibrosis;Bone_marrow;TdTomato_Gli1;Rebekka_Schneider;CXCL4;Helene_Gleitz;CXCL4 KO EV
324_CD41;RNAseq;Mouse;Fibrosis;Bone_marrow;CD41;Rebekka_Schneider;CXCL4;Helene_Gleitz;WT TPO
324_tdTom;RNAseq;Mouse;Fibrosis;Bone_marrow;TdTomato_Gli1;Rebekka_Schneider;CXCL4;Helene_Gleitz;WT TPO
319_CD41;RNAseq;Mouse;Fibrosis;Bone_marrow;CD41;Rebekka_Schneider;CXCL4;Helene_Gleitz;WT EV
319_tdTom;RNAseq;Mouse;Fibrosis;Bone_marrow;TdTomato_Gli1;Rebekka_Schneider;CXCL4;Helene_Gleitz;WT EV
322_CD41;RNAseq;Mouse;Fibrosis;Bone_marrow;CD41;Rebekka_Schneider;CXCL4;Helene_Gleitz;CXCL4 KO EV
322_tdTom;RNAseq;Mouse;Fibrosis;Bone_marrow;TdTomato_Gli1;Rebekka_Schneider;CXCL4;Helene_Gleitz;CXCL4 KO EV
349_CD41;RNAseq;Mouse;Fibrosis;Bone_marrow;CD41;Rebekka_Schneider;CXCL4;Helene_Gleitz;WT EV
349_tdTom;RNAseq;Mouse;Fibrosis;Bone_marrow;TdTomato_Gli1;Rebekka_Schneider;CXCL4;Helene_Gleitz;WT EV
323_CD41;RNAseq;Mouse;Fibrosis;Bone_marrow;CD41;Rebekka_Schneider;CXCL4;Helene_Gleitz;CXCL4 KO TPO
323_tdTom;RNAseq;Mouse;Fibrosis;Bone_marrow;TdTomato_Gli1;Rebekka_Schneider;CXCL4;Helene_Gleitz;CXCL4 KO TPO
335_CD41;RNAseq;Mouse;Fibrosis;Bone_marrow;CD41;Rebekka_Schneider;CXCL4;Helene_Gleitz;CXCL4 KO TPO
335_tdTom;RNAseq;Mouse;Fibrosis;Bone_marrow;TdTomato_Gli1;Rebekka_Schneider;CXCL4;Helene_Gleitz;CXCL4 KO TPO
325_CD41;RNAseq;Mouse;Fibrosis;Bone_marrow;CD41;Rebekka_Schneider;CXCL4;Helene_Gleitz;CXCL4 KO EV
325_tdTom;RNAseq;Mouse;Fibrosis;Bone_marrow;TdTomato_Gli1;Rebekka_Schneider;CXCL4;Helene_Gleitz;CXCL4 KO EV
326_CD41;RNAseq;Mouse;Fibrosis;Bone_marrow;CD41;Rebekka_Schneider;CXCL4;Helene_Gleitz;WT TPO
326_tdTom;RNAseq;Mouse;Fibrosis;Bone_marrow;TdTomato_Gli1;Rebekka_Schneider;CXCL4;Helene_Gleitz;WT TPO
346_CD41;RNAseq;Mouse;Fibrosis;Bone_marrow;CD41;Rebekka_Schneider;CXCL4;Helene_Gleitz;WT TPO
346_tdTom;RNAseq;Mouse;Fibrosis;Bone_marrow;TdTomato_Gli1;Rebekka_Schneider;CXCL4;Helene_Gleitz;WT TPO
369_CD41;RNAseq;Mouse;Fibrosis;Bone_marrow;CD41;Rebekka_Schneider;CXCL4;Helene_Gleitz;WT EV
369_tdTom;RNAseq;Mouse;Fibrosis;Bone_marrow;TdTomato_Gli1;Rebekka_Schneider;CXCL4;Helene_Gleitz;WT EV
