sample,condition
early_EV_HSPC1,early_EV_HSPC
early_EV_HSPC2,early_EV_HSPC
early_EV_HSPC3,early_EV_HSPC
early_EV_Stroma1,early_EV_Stroma
early_EV_Stroma2,early_EV_Stroma
early_EV_Stroma3,early_EV_Stroma
early_TPO_HSPC1,early_TPO_HSPC
early_TPO_HSPC2,early_TPO_HSPC
early_TPO_HSPC3,early_TPO_HSPC
early_TPO_Stroma1,early_TPO_Stroma
early_TPO_Stroma2,early_TPO_Stroma
early_TPO_Stroma3,early_TPO_Stroma
