sample,condition
late_Stroma_EV1,late_Stroma_EV
late_Stroma_EV2,late_Stroma_EV
late_Stroma_EV3,late_Stroma_EV
late_Stroma_EV4,late_Stroma_EV
late_Stroma_TPO1,late_Stroma_TPO
late_Stroma_TPO2,late_Stroma_TPO
late_Stroma_TPO3,late_Stroma_TPO
late_Stroma_TPO4,late_Stroma_TPO
late_Stroma_TPO5,late_Stroma_TPO
