ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ASPN,5.02156566490372,1.7781439021634473,47.951276130320956,4.168683007667715e-16,3.5997339992618446e-12,26.986874290512603
OGN,4.559037931924988,3.3808971587038137,46.60285112413493,6.044893365679e-16,3.5997339992618446e-12,26.668387571607028
RRM2,-4.164590762916534,5.739135460742734,-42.402722467966974,2.0673137201587375e-15,6.544739829613441e-12,25.589531540320216
AGTR2,4.793650056819412,1.4853758476678305,42.20332143345129,2.198065433959174e-15,6.544739829613441e-12,25.534769665702257
HPGD,4.837111923063704,1.8118241520015452,39.879977020372486,4.5904643584149095e-15,1.0934486101744315e-11,24.870596055745494
CCNB2,-3.6893025569997473,5.0608482510717065,-39.06315344138512,6.007215835622346e-15,1.1445002868124565e-11,24.625067205498524
PRC1,-3.8382899372804444,4.315268984705981,-38.46262516920449,7.346838218419638e-15,1.1445002868124565e-11,24.440326917273886
OMD,3.8317877968500387,1.3598672389240625,38.328610055301354,7.687659357262512e-15,1.1445002868124565e-11,24.39859877952633
CCNA2,-4.1624771091170745,4.3298745202334255,-36.80929476266673,1.2999237058988398e-14,1.6111376156974507e-11,23.912267005830795
BIRC5,-4.4137473545045385,5.616610134377812,-36.69650093563901,1.352760382617507e-14,1.6111376156974507e-11,23.875161086515416
CEP55,-3.812492911023102,2.8634378976882227,-36.20324243754274,1.6125283207731433e-14,1.7459283909461942e-11,23.71121000353115
HMMR,-3.546830147645779,3.242167699607501,-35.624189118981164,1.9878120409223444e-14,1.9729034506154267e-11,23.515174903396826
MELK,-3.375830696715543,2.576160169230718,-35.23895688406271,2.2889382778541836e-14,2.0970196068648714e-11,23.382568874452
2810417H13RIK,-3.8374218598564633,3.945960929796272,-34.62005183941758,2.8803103864933833e-14,2.4503211930811565e-11,23.16576505591513
FIGNL1,-3.4229304254990494,3.2611444740199027,-34.36609644044584,3.168832056208621e-14,2.516052652629645e-11,23.075432132030066
CCNB1,-3.966889800110866,5.173737631835998,-33.93827131409951,3.727588082276676e-14,2.7747233787447008e-11,22.921405948377004
ANLN,-3.907339890073292,3.1759900543034245,-33.57646989539248,4.283068283585393e-14,3.000667250441296e-11,22.789306385412093
CENPA,-3.5426694344570926,5.020384608949505,-33.254241416821046,4.853126888730895e-14,3.211152291376942e-11,22.67020450978066
METTL7A1,3.3665432565876157,4.20942743432071,32.97961549171138,5.403548687452055e-14,3.356223690296445e-11,22.56759934442236
KIF23,-3.5036359392872765,3.1560995611010285,-32.87256621598891,5.635975970271108e-14,3.356223690296445e-11,22.527326528440394
KIF2C,-3.970998681989605,3.356091808479471,-32.65061123248688,6.152871287402807e-14,3.4895570015698775e-11,22.44332408606126
NUF2,-3.3278634634435544,3.2711011605118823,-32.51504386555646,6.493500900162163e-14,3.4980769189948557e-11,22.391680908799234
HELLS,-3.004646360403868,3.0246447558065714,-32.4159444671992,6.755312270099217e-14,3.4980769189948557e-11,22.35376751526882
TACC3,-3.4004494658374855,4.617491129112932,-32.13691661841673,7.555391096879848e-14,3.7493628318266244e-11,22.246273416155333
AURKB,-3.5030707044885996,4.330447346969633,-31.667418827017723,9.140912111271089e-14,4.354730529809547e-11,22.06288419353392
KNSTRN,-3.2612812388715686,2.6170775441864684,-31.210797240320748,1.1030863410652714e-13,5.052983970033609e-11,21.881424531100286
NEK2,-3.5887268155802534,3.1091095850170225,-30.720917590510393,1.3535658571741072e-13,5.97072939220134e-11,21.68325493526436
PIK3IP1,2.959262171192547,3.3203658499297175,30.510851536527174,1.4791482058251025e-13,6.139273305344895e-11,21.597144434821775
GAS6,3.3158897583770806,7.068971793984699,30.431807362585637,1.529599298194181e-13,6.139273305344895e-11,21.56456373100612
ECT2,-3.585518278080627,3.0827537030432564,-30.40608061393988,1.5464164497090414e-13,6.139273305344895e-11,21.553938364653057
NCAPG,-2.846400758047308,3.0506769743617785,-30.13361753055321,1.737243650419125e-13,6.674378024674767e-11,21.44076417600844
PBK,-4.085412695194738,4.107388018320523,-29.84669211284324,1.9658957375177464e-13,7.277392052035999e-11,21.320294197576935
UBE2C,-4.440356419380086,5.815416431160253,-29.78739932788421,2.0170658520972569e-13,7.277392052035999e-11,21.295232358804622
E2F8,-3.6989339002831523,2.3321304617817544,-29.705509952851127,2.0901054657544823e-13,7.277392052035999e-11,21.260524611343044
BUB1,-3.1739694072935727,2.7963130003666055,-29.6528085059663,2.1386122738980684e-13,7.277392052035999e-11,21.238129398827297
CDCA8,-3.4351644055529555,4.79342941730035,-29.328051052003076,2.465551543483553e-13,8.109695590057533e-11,21.099106766838023
UHRF1,-3.558597675869716,4.111494064436651,-29.279046131103286,2.5193848600514586e-13,8.109695590057533e-11,21.077975135211748
TPX2,-3.258272852422477,3.796688155348831,-29.10591529369576,2.7199286305550845e-13,8.204169576164027e-11,21.002992580628373
ESCO2,-2.5636564624425353,1.973458972875788,-29.082578494155054,2.7482473568324323e-13,8.204169576164027e-11,20.99284640172456
MCM5,-4.051774271562278,4.634185437905237,-29.076734371562157,2.7553886066042075e-13,8.204169576164027e-11,20.990304083699954
MCM10,-3.311660527441734,2.527855282293513,-29.01075365216651,2.8374128637373624e-13,8.242338343198046e-11,20.961560433229817
SKA3,-3.0588343320796967,2.68265761945514,-28.88346828471496,3.003161836284935e-13,8.516108921465137e-11,20.90589842108263
KIF22,-3.482828461095993,4.129565391560543,-28.811154833236724,3.101940642046513e-13,8.59165419692418e-11,20.87415072949397
FAM64A,-3.2382065504502737,3.5483218649079022,-28.582059576385234,3.43864510738492e-13,9.307787097489637e-11,20.772968136777124
PPBP,-4.277575136953727,6.170002522599237,-28.493593437594495,3.5790066822468357e-13,9.472437685679959e-11,20.733648616109697
CDC20,-4.0345690453270535,5.502915964964494,-28.290292738069713,3.9254629374205945e-13,1.0110762446452258e-10,20.642761724866908
KLK8,-2.914116191477448,2.5343457639898155,-28.25457439105136,3.9899734255521086e-13,1.0110762446452258e-10,20.626717055686335
RACGAP1,-3.1074376498048473,4.611808608967557,-28.067306577183743,4.3473816621688037e-13,1.0786940749256343e-10,20.542218569104353
TRIP13,-3.2949836696269816,3.154852048209942,-27.933767389479264,4.623208562229901e-13,1.1237227342073085e-10,20.481572755551767
DKK3,2.706989759159664,4.010044130832826,27.879275320090517,4.741117231976791e-13,1.1293341246568716e-10,20.4567314131568
HMGA2,-2.777137136094888,1.8915891059681424,-27.639202339664106,5.30046748505574e-13,1.237815053863017e-10,20.346633096798477
SERPINB2,-4.727478164687065,3.946079900577269,-27.55571609990016,5.511282017460474e-13,1.2622955543837354e-10,20.30809334448902
NDC80,-3.2859486026512457,3.4102906984484953,-27.073194455017,6.920464042480638e-13,1.5226423115272566e-10,20.082746822948533
CKAP2L,-3.2205389138870473,3.5786586368649913,-27.069333744692095,6.93319226185988e-13,1.5226423115272566e-10,20.08092569764509
