ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ADIPOQ,-3.9558820068057785,4.312433904946393,-17.07393400346864,5.84724245134759e-10,2.979018680537041e-6,12.572156738005178
JCHAIN,-5.3225270846533395,6.162628647041596,-16.939746458094625,6.421682863843589e-10,2.979018680537041e-6,12.499914340219993
PRSS34,-3.3950948737228197,6.69085725862627,-13.34172290182388,1.0611000555983665e-8,2.4658592421989615e-5,10.205561726845085
CXCL12,-3.2202312381381057,7.366489602784949,-13.339558181861369,1.0630994792838807e-8,2.4658592421989615e-5,10.203943092143978
CTSG,-3.3159090471603028,7.199177204492075,-12.364004632804493,2.5549797762691824e-8,4.741020472845094e-5,9.439875122437469
CAR1,4.684456787887735,5.632782566017857,12.060914244097034,3.396264135021113e-8,5.251756440787648e-5,9.187693746040182
PPBP,4.829289788238098,5.891981865036375,11.511604108670348,5.780315613505888e-8,7.661395466015375e-5,8.71142416992625
BGLAP2,-2.961105363710688,8.23037540468143,-10.811050836397152,1.1757788129459173e-7,1.3636094783140278e-4,8.065733238502833
CCR2,-2.8072069675381277,2.9044074569775935,-10.325290398809647,1.9677813242848593e-7,2.028563902968325e-4,7.590973034174571
CAR2,1.9938490325092912,8.050715643603043,10.15274642327532,2.3739693787289683e-7,2.2025687895847369e-4,7.416704196249643
ALOX12,3.339054712698543,2.9127109649153655,9.927514852291761,3.04471573555001e-7,2.376503719245299e-4,7.184616110437913
ESM1,-2.87553427155298,3.4826402372008514,-9.919010695264742,3.0737275954886383e-7,2.376503719245299e-4,7.175749200710811
CHIL3,-2.918500976671438,7.748472457560029,-9.418037910350876,5.436879210066661e-7,3.8360602090206793e-4,6.6396652867472294
COL2A1,-2.7893080836038697,5.352746764918686,-9.264150178525991,6.508650853442839e-7,3.8360602090206793e-4,6.469419239908419
NRGN,2.320017286389813,4.814864727261357,9.262860948790399,6.518532404925337e-7,3.8360602090206793e-4,6.467981607754817
H2-AB1,-2.8092761785882514,7.148553527991131,-9.205003901780515,6.978948683955719e-7,3.8360602090206793e-4,6.403268758810823
PRTN3,-3.251038810844004,7.9173406149824945,-9.123818890838052,7.684617685360564e-7,3.8360602090206793e-4,6.311813821140634
NKG7,-2.583101138367007,6.771921646433052,-9.10802730057938,7.830547981406135e-7,3.8360602090206793e-4,6.29393588386125
ELANE,-3.14881762630948,9.469522358125849,-9.105337825295344,7.855695620973583e-7,3.8360602090206793e-4,6.2908881911057595
IRF8,-2.2389333622196674,4.042437923280361,-8.972768495233916,9.209018276665839e-7,4.075178866422405e-4,6.1396126687947135
NNAT,1.793758965959908,7.835692928746553,8.936046706659114,9.626548509442647e-7,4.075178866422405e-4,6.097343112947913
LPPR3,-2.319889836587521,3.2248926660027157,-8.93291627630201,9.663066939134825e-7,4.075178866422405e-4,6.093732353556776
GP1BB,3.284409806841902,4.068197734214638,8.825773314316088,1.1006743224029526e-6,4.4400245057628666e-4,5.969444923992269
H2-EB1,-2.939499509506545,5.310332262408773,-8.75268430947724,1.2037221575207478e-6,4.5644867564546474e-4,5.883869401577389
MT2,1.7594471660718387,6.557857331798143,8.732084610751368,1.2345948198334507e-6,4.5644867564546474e-4,5.859633633963485
ALDOC,1.863049588316315,10.203532550790193,8.703326073073498,1.27911894446886e-6,4.5644867564546474e-4,5.8257125797942475
TPRKB,1.963610987059667,5.402819587985655,8.644502020272563,1.3756275170843113e-6,4.727063742040089e-4,5.75601425918328
PF4,4.05125065827027,6.754366276576102,8.552703751876386,1.5421161899260077e-6,4.84741523816315e-4,5.646395913850386
CTSC,-2.118975161880907,4.594292035113298,-8.552606625466806,1.542303341697813e-6,4.84741523816315e-4,5.646279381111215
LTF,-2.7072234575818976,7.881249451995962,-8.539663761291601,1.5674612506192921e-6,4.84741523816315e-4,5.6307399913692215
MS4A3,-3.106519722046362,6.424317620623949,-8.488461939012854,1.6713687843521337e-6,4.84741523816315e-4,5.5690619445917715
TM9SF1,-2.3469914104339287,3.8031046231854098,-8.48821718041002,1.6718828154906316e-6,4.84741523816315e-4,5.5687663212359215
MPO,-3.7161190887449527,9.041695297372602,-8.39802537350355,1.8733079697570098e-6,5.00229683837786e-4,5.459319654238353
PLA2G7,1.7530107736702618,6.835652541313635,8.376047180312257,1.9262217884194483e-6,5.00229683837786e-4,5.432494118222891
PLAC8,-2.32595223736108,7.999990886184664,-8.370632325224488,1.939502008981801e-6,5.00229683837786e-4,5.425875621362508
MAN2B1,-2.0216914336961063,3.893638192027095,-8.370038434228777,1.940964498616113e-6,5.00229683837786e-4,5.425149491267025
CKB,1.6666035332686064,11.592484334133083,8.320632327457387,2.0668534440484314e-6,5.070593574956982e-4,5.364585602591172
MT3,1.7819472119405582,7.870990587985702,8.316878599823516,2.07676822427641e-6,5.070593574956982e-4,5.359971453820197
MCPT8,-3.345609273899938,5.9219336790334705,-8.250206869470931,2.261598483484147e-6,5.38028480250408e-4,5.27771755088469
SLC39A12,2.1423340015593944,3.669303701823229,8.172116307087812,2.500681366772696e-6,5.779203571193984e-4,5.180650293272263
LDHB,1.7111147139958618,9.19313195568211,8.151778560905605,2.567281092873954e-6,5.779203571193984e-4,5.155241006794727
NDRG2,1.7350602368174286,10.48501010424699,8.125863872694135,2.6548993614204247e-6,5.779203571193984e-4,5.122786319335772
CYP2J9,1.676094839605951,5.05134407040401,8.119056463220392,2.678440973931249e-6,5.779203571193984e-4,5.114246469352281
CMTM7,-1.9702124848154572,6.608093983316667,-8.08218190336781,2.8098942343020977e-6,5.92504516042156e-4,5.0678826243379405
ACSBG1,1.8722662575266078,7.94771473725726,7.941754902035875,3.377143558679954e-6,6.641384842163848e-4,4.889685305360791
ASF1B,-1.7733781685259102,4.224514587728036,-7.9261114122699725,3.447521165885698e-6,6.641384842163848e-4,4.86967302053576
LBR,-1.8682374690073789,4.445751617922488,-7.900524106103809,3.566028145575154e-6,6.641384842163848e-4,4.836869790789013
BGLAP,-2.4287846375527913,9.857394229436377,-7.8871417158202295,3.6297321813182683e-6,6.641384842163848e-4,4.819678693219686
NAPSA,-2.093252920424976,5.472433251381906,-7.885916008455439,3.6356272808805088e-6,6.641384842163848e-4,4.818102948788374
NTSR2,1.7638229127756748,7.006051570068428,7.8850029454445885,3.6400253384615644e-6,6.641384842163848e-4,4.81692900333362
IGFBP4,-1.745873159755286,7.7548956441504835,-7.882794647080823,3.650685783038977e-6,6.641384842163848e-4,4.814089285157905
ABCD1,-1.7429747643287534,2.4505739762853924,-7.8292599420680755,3.9195787332281995e-6,6.993432978248315e-4,4.745047941658484
SP100,-1.752802519373469,3.7513504679815797,-7.805069566214153,4.0479397154649415e-6,7.086185788695042e-4,4.713724688882303
CD74,-2.50223081776726,8.207103856226423,-7.763892714990081,4.276855996441512e-6,7.1820532212694e-4,4.660225168919839
LTA4H,-2.05584602161231,6.302068410198121,-7.763854621911257,4.277074049645909e-6,7.1820532212694e-4,4.660175570170999
ENHO,1.5801887287396008,7.786092277320808,7.74745803778012,4.372041366321091e-6,7.1820532212694e-4,4.63880834224285
CLEC12A,-2.693352235874581,4.97610017318547,-7.7315885965560796,4.466098750696143e-6,7.1820532212694e-4,4.618093434017073
GSTA4,1.478861130320415,6.642542614341484,7.727654029722445,4.489750882017948e-6,7.1820532212694e-4,4.612952237706237
HRSP12,1.6076528081358026,7.887817850148428,7.652235814380441,4.969897317744162e-6,7.815374121022089e-4,4.513998756352045
RHOX8,1.8566642845147436,3.069743842538358,7.63145065843415,5.1116398738109125e-6,7.904299124869607e-4,4.486591065999129
CALR,-1.5105987662107943,7.7752781942006175,-7.61410438763236,5.233229221436063e-6,7.959655855161277e-4,4.46367271986438
FCNB,-2.5990228014911807,6.0851173193563275,-7.578201899326326,5.494788707058001e-6,8.215081815145628e-4,4.4161063683110235
MMD2,1.6694308567301341,6.575376329342777,7.5671276735052455,5.5782512864213685e-6,8.215081815145628e-4,4.401398657433715
SEMA4A,-1.8736178291361711,3.548492470974499,-7.520700190055472,5.943145352763752e-6,8.373332731923337e-4,4.339554277495839
SPARCL1,1.6771197694742401,9.100667838431344,7.5105203434032815,6.026502376696355e-6,8.373332731923337e-4,4.325954289760956
FAM213A,1.7806145416558108,6.824108463956211,7.509811485398683,6.032353007075331e-6,8.373332731923337e-4,4.325006741703607
TTYH1,1.8302386329233133,6.340831937191184,7.5080757013747865,6.046705033831252e-6,8.373332731923337e-4,4.32268618262947
MLC1,1.6225416561868888,6.193013493953731,7.495652152234303,6.1504947141301245e-6,8.391807346720485e-4,4.30606504030737
MT1,1.4300044348955119,9.187966768835446,7.440650823073829,6.633322811420345e-6,8.919415803530138e-4,4.232222980240699
H2-AA,-2.1117023161379453,6.633317153451395,-7.410632491069668,6.913725844031442e-6,9.090791425268432e-4,4.191744316985099
FABP7,1.648281290639991,7.075822667306796,7.40614273236791,6.95673842632096e-6,9.090791425268432e-4,4.185679228860723
ABHD3,1.774866104317308,5.251571832273503,7.359345785068408,7.422407813842398e-6,9.191966130248571e-4,4.122294746720094
ARXES2,1.6163550441958874,3.696860631144599,7.347997368683806,7.540261581798245e-6,9.191966130248571e-4,4.1068775765467755
