ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
DERL3,-2.9850350671861903,1.8927340408352564,-15.784544962714198,6.612720685545704e-10,7.044000179638461e-6,12.413561433034275
TMA16,1.4353879418956286,4.795645660369063,15.064797304437189,1.182871566689918e-9,7.044000179638461e-6,11.95508146444081
CXCL3,2.3774617024345432,6.342559500069566,14.245521661937024,2.3656732388442584e-9,9.391722758211706e-6,11.395152464796926
IL1A,1.880727950104632,1.0893584364300473,12.118196001054768,1.7109099486029427e-8,5.094234371965262e-5,9.723330020267891
IRG1,1.577834998986733,2.3364753209326583,11.317949141635143,3.892342631007507e-8,7.081382954281102e-5,9.0001956000610015
MCPT8,1.636277297990345,5.200801358612122,11.18764486677201,4.4701030498137086e-8,7.081382954281102e-5,8.876955548865215
ARG2,1.4096138043195632,3.5470923580548326,11.167585032943599,4.566904517770453e-8,7.081382954281102e-5,8.857841363582962
ID3,1.581539491221939,6.25597955489519,11.052174304511379,5.169181582420175e-8,7.081382954281102e-5,8.747128070420896
CAV1,1.3351517844730374,5.435782711104743,11.020114029589147,5.3511709981973064e-8,7.081382954281102e-5,8.716146457776377
CYP11A1,1.135514503301641,2.237330187284182,10.3391381623512,1.1385224335391054e-7,1.3559802183450744e-4,8.034058761807104
SDC1,0.958311385611132,5.876009309025314,10.214151701574126,1.3134003847493787e-7,1.4220544165786456e-4,7.903714628421538
NT5E,1.330250610118527,4.35661169810786,9.940001744080813,1.805697803632321e-7,1.7921550701050786e-4,7.611969877987331
IL1F9,1.225813310999817,2.2499281470479215,9.84542435940737,2.0185194612437815e-7,1.8492743679548798e-4,7.509423625678696
CLEC7A,1.3128471453204753,2.8889479724787908,9.228628748548132,4.263056798483584e-7,3.385196312311758e-4,6.8158203285380665
HSD11B1,1.1954189117552838,4.142644188610956,9.214114535773248,4.3406836357737875e-7,3.385196312311758e-4,6.798965185129912
CCRL2,1.1778353427768193,3.15552636627464,9.17672047045679,4.5477028544910266e-7,3.385196312311758e-4,6.755424055162793
EDIL3,1.1755452817284766,3.698244944887577,9.120683623303428,4.87786482544959e-7,3.4173747100649775e-4,6.689861498979125
TNFAIP6,1.0805819854514436,3.9562958660916436,9.047068935291879,5.350919772338021e-7,3.5405252493636574e-4,6.603156939926631
ALDH1L2,-0.9356319518709584,2.634291247105164,-8.977900148347292,5.840120952438167e-7,3.541046054075129e-4,6.521088207257078
ARG1,2.3937288375112056,4.178125115876189,8.963697850976235,5.946340980814658e-7,3.541046054075129e-4,6.504164752778955
